lsoa_code,borough,major_category,minor_category,value,year,month
E01001861,Hammersmith and Fulham,Criminal Damage,Other Criminal Damage,0,2010,6
E01004724,Westminster,Violence Against the Person,Harassment,0,2009,12
E01000989,Croydon,Violence Against the Person,Offensive Weapon,0,2016,2
E01000688,Bromley,Theft and Handling,Other Theft Person,0,2008,10
E01004421,Waltham Forest,Violence Against the Person,Wounding/GBH,0,2008,1
E01002073,Haringey,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2011,9
E01001932,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,2,2010,12
E01003438,Merton,Violence Against the Person,Harassment,0,2011,6
E01000723,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,1,2010,9
E01001595,Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,8
E01003240,Lewisham,Theft and Handling,Theft From Shops,0,2012,8
E01003059,Lambeth,Theft and Handling,Other Theft,2,2008,9
E01004763,Westminster,Theft and Handling,Handling Stolen Goods,0,2013,5
E01000728,Bromley,Drugs,Possession Of Drugs,1,2011,12
E01003737,Redbridge,Other Notifiable Offences,Going Equipped,0,2012,9
E01000842,Camden,Criminal Damage,Criminal Damage To Other Building,0,2008,9
E01004138,Sutton,Other Notifiable Offences,Other Notifiable,0,2012,12
E01003395,Merton,Violence Against the Person,Harassment,1,2016,6
E01001654,Greenwich,Robbery,Personal Property,0,2013,5
E01002372,Havering,Theft and Handling,Theft From Motor Vehicle,0,2010,7
E01003636,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,8
E01003110,Lambeth,Robbery,Personal Property,2,2013,1
E01003216,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,11
E01002968,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2009,4
E01002498,Hillingdon,Theft and Handling,Theft From Shops,0,2008,12
E01000172,Barnet,Robbery,Personal Property,0,2008,11
E01004351,Waltham Forest,Burglary,Burglary in a Dwelling,0,2015,3
E01002207,Harrow,Violence Against the Person,Common Assault,0,2011,10
E01000728,Bromley,Violence Against the Person,Harassment,2,2011,9
E01003262,Lewisham,Burglary,Burglary in Other Buildings,1,2008,12
E01000448,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01001933,Hammersmith and Fulham,Theft and Handling,Other Theft,5,2009,5
E01000336,Bexley,Drugs,Other Drugs,0,2010,6
E01002568,Hounslow,Robbery,Personal Property,1,2013,9
E01000514,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,1,2012,11
E01001127,Croydon,Drugs,Possession Of Drugs,1,2012,11
E01033589,Redbridge,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,6
E01003078,Lambeth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,10
E01000641,Brent,Burglary,Burglary in a Dwelling,0,2016,1
E01004614,Wandsworth,Burglary,Burglary in a Dwelling,1,2014,4
E01002279,Havering,Criminal Damage,Criminal Damage To Motor Vehicle,1,2011,4
E01004657,Westminster,Theft and Handling,Other Theft,11,2008,9
E01003876,Richmond upon Thames,Burglary,Burglary in Other Buildings,0,2010,9
E01003681,Redbridge,Violence Against the Person,Wounding/GBH,1,2010,8
E01002949,Kingston upon Thames,Violence Against the Person,Harassment,0,2011,10
E01004480,Wandsworth,Burglary,Burglary in Other Buildings,0,2013,4
E01002943,Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,1,2015,12
E01003500,Newham,Violence Against the Person,Wounding/GBH,1,2010,6
E01004234,Tower Hamlets,Theft and Handling,Theft From Shops,0,2015,1
E01001410,Enfield,Theft and Handling,Handling Stolen Goods,0,2012,11
E01004661,Westminster,Drugs,Possession Of Drugs,2,2013,5
